0.03186940	0.11388809	0.85424251	
0.02277310	0.94627341	0.03095349	
0.93198349	0.02871458	0.03930194	
0.56156115	0.36531649	0.07312237	
0.03786410	0.88286252	0.07927338	
0.07890857	0.89395589	0.02713553	
0.75595297	0.18466648	0.05938055	
0.06647220	0.89877223	0.03475557	
0.01734217	0.07051259	0.91214523	
0.09525077	0.87698669	0.02776254	
0.06503768	0.84968330	0.08527902	
0.04280569	0.93482801	0.02236629	
0.04644484	0.03561770	0.91793746	
0.93960202	0.02450530	0.03589267	
0.37803750	0.41983267	0.20212983	
0.15508561	0.77312921	0.07178517	
0.01166930	0.05652164	0.93180906	
0.25358506	0.03263837	0.71377657	
0.34905139	0.62824105	0.02270756	
0.94721343	0.02883901	0.02394756	
0.02815506	0.20511404	0.76673090	
0.25419159	0.03798970	0.70781871	
0.07377150	0.91324845	0.01298005	
0.59358816	0.02238570	0.38402614	
0.05214509	0.52066289	0.42719202	
0.07133185	0.37094969	0.55771847	
0.02350008	0.05456380	0.92193612	
0.05726678	0.06637671	0.87635651	
0.92447584	0.01956599	0.05595818	
0.09725529	0.06274204	0.84000267	
0.57700195	0.40766039	0.01533767	
0.03785200	0.11700526	0.84514274	
0.04431633	0.05913389	0.89654978	
0.94245013	0.01558632	0.04196355	
0.11856085	0.62006119	0.26137796	
0.05888453	0.62068632	0.32042915	
0.89004364	0.06600902	0.04394734	
0.94435589	0.02441552	0.03122860	
0.11505625	0.05493175	0.83001200	
0.91665619	0.03992945	0.04341436	
0.10149288	0.86127090	0.03723622	
0.91986364	0.01929772	0.06083863	
0.39743652	0.04733398	0.55522951	
0.07071977	0.90769907	0.02158116	
0.02937411	0.04069325	0.92993264	
0.02942084	0.03988260	0.93069656	
0.04178075	0.07475200	0.88346724	
0.91117223	0.03228642	0.05654134	
0.02440965	0.03922380	0.93636655	
0.92816352	0.03130592	0.04053056	
0.01598854	0.14827342	0.83573804	
0.08223508	0.71544216	0.20232276	
0.02919075	0.03004685	0.94076240	
0.05161809	0.07675209	0.87162982	
0.04805190	0.04831260	0.90363550	
0.02734041	0.95243819	0.02022141	
0.05068762	0.91755631	0.03175607	
0.90050520	0.02840208	0.07109271	
0.06062439	0.90259879	0.03677682	
0.04502387	0.04412500	0.91085113	
0.04119016	0.85230835	0.10650149	
0.17313155	0.72415925	0.10270921	
0.02731424	0.93524077	0.03744499	
0.73511678	0.06235733	0.20252589	
0.04410667	0.90557160	0.05032173	
0.06296009	0.82925753	0.10778238	
0.31423000	0.08807613	0.59769388	
0.95063587	0.02975700	0.01960712	
0.06077778	0.92980650	0.00941573	
0.03711438	0.05111991	0.91176571	
0.04584376	0.04823661	0.90591963	
0.30236031	0.05620711	0.64143258	
0.05930597	0.70664819	0.23404584	
0.92617205	0.03928678	0.03454117	
0.47231192	0.14899622	0.37869186	
0.05895687	0.48695149	0.45409165	
0.93574544	0.03393371	0.03032085	
0.04781394	0.06075971	0.89142635	
0.05640901	0.07916644	0.86442455	
0.03338635	0.02204770	0.94456595	
0.15271753	0.04019995	0.80708251	
0.04595755	0.94311045	0.01093200	
0.93742471	0.03352419	0.02905110	
0.90511463	0.03115634	0.06372904	
0.32995712	0.06126627	0.60877661	
0.01803716	0.12021252	0.86175032	
0.90153357	0.05697120	0.04149523	
0.94442297	0.01177038	0.04380665	
0.05792792	0.87211414	0.06995793	
0.75938147	0.16557697	0.07504156	
0.08181520	0.90583995	0.01234485	
0.47538114	0.48980131	0.03481754	
0.03927881	0.05908119	0.90163999	
0.02616800	0.93625142	0.03758058	
0.92700593	0.04296862	0.03002545	
0.79150057	0.13784506	0.07065437	
0.05261511	0.89764070	0.04974419	
0.25249083	0.06052737	0.68698180	
0.05866520	0.93315209	0.00818271	
0.75305847	0.03787581	0.20906572	
0.07728047	0.33713302	0.58558651	
0.96172603	0.01170656	0.02656742	
0.04524561	0.04743790	0.90731649	
0.14345623	0.80013426	0.05640951	
0.06876046	0.31143974	0.61979979	
0.05243132	0.93799594	0.00957274	
0.05581521	0.04021683	0.90396796	
0.02488093	0.94013572	0.03498335	
0.22162621	0.06370428	0.71466952	
0.05974831	0.05947021	0.88078148	
0.96840012	0.00708387	0.02451601	
0.88813515	0.04238137	0.06948348	
0.05354393	0.92599590	0.02046017	
0.90949819	0.03686353	0.05363828	
0.66863540	0.04298445	0.28838015	
0.05247436	0.92977231	0.01775333	
0.38973410	0.18092638	0.42933952	
0.03282609	0.43569577	0.53147814	
0.05211383	0.02659073	0.92129544	
0.03629309	0.60244480	0.36126211	
0.93002680	0.02155083	0.04842237	
0.10096063	0.86223230	0.03680708	
0.93627353	0.01723493	0.04649154	
0.04008928	0.08284506	0.87706566	
0.93175138	0.02079874	0.04744988	
